Entity,Code,Year,End-of-Life food emissions,Food consumption emissions,Food retail emissions,Food packaging emissions,Food transport emissions,Food processing emissions,Agricultural production emissions,Land use change emissions
CO2,,1990,1881817,239547079,169771647,480644388,449021922,309008672,819779593,6800775286
CO2,,1991,1929993,243133802,176985638,488785004,455642508,309621179,822285620,6813224180
CO2,,1992,2087574,238831828,180365107,485289976,467235821,302257138,800751113,6833640272
CO2,,1993,2107628,243830788,185590467,484640631,474837806,305299061,785915884,6879418108
CO2,,1994,2356424,240553575,192548297,507160053,485450912,302642917,803915414,6892473766
CO2,,1995,2462395,256024554.00000003,200554632,570928868,499284146,362763380,833223507,6911731532
CO2,,1996,2472394,239208862,212653782,568254732,521774344,354136930,793623584,6418273612
CO2,,1997,2618634,258845455,219538102,573378334,530823261,356310180,851192834,7361368893
CO2,,1998,2642581,241930613,220960876,575017397,538482296,361743023,843431219,6829536795
CO2,,1999,2708398,245505413,227700630,571315526,553763179,341206785,850958239,6493767044
CO2,,2000,3002220,252685041,228676161,592134601,575920966,351828171,780362474,6339982039
CO2,,2001,2823986,257941578.99999997,238729237,603932592,584694568,361717793,774454512,5876346232
CO2,,2002,2778705,261299679.99999997,239329013,598399545,598497871,368273706,784021707,6809055933
CO2,,2003,2865381,272102971,250168757.00000003,648459657,616663406,369924784,813728679,6478018385
CO2,,2004,2811097,283603022,258634680.99999997,737391725,640179183,407978660,859347774,6786213736
CO2,,2005,2801022,291321418,268123147.99999997,778697066,651863012,426479789,890541682,6537128836
CO2,,2006,2846481,295596443,271660203,803238045,664679786,443090004,905489260,6378900703
CO2,,2007,2870724,304624617,286415119,849940653,682026900,457756643,915553034,5895887112
CO2,,2008,3119255,298981503,289855092,863195782,684298866,465167784,912017784,5869189577
CO2,,2009,2866732,299265224,281488559,848817028,677112319,457357530,902366938,6174114718
CO2,,2010,3080234,312482914,292474052,870333448,702793019,463483758,923316235,5832511750
CO2,,2011,3128253,317651978,292908542,925592999,712442188,465247802,948465234,5187965420
CO2,,2012,3368505,320587633,291819882,892769436,734803220,460735843,953357662,5253230642
CO2,,2013,3424859,328638351,301664959,895364383,745640937,459284130,970191273,5157058010
CO2,,2014,3397758,332311041,298753420,913689310,757338149,442668646,989856102,5358269555
CO2,,2015,3435776,334857988,294782355,901570506,771213548,436911272,985642478,5674576445
